,Tier,Games,Win Points,Lose Points,NumTackles,Passes,Meters,Breaks,DropGoals,Yellows,Reds,Total
Argentina,1,4,4,1,4.08,3.98,4.18,3.8,0.0,0.0,-2.0,19.03
Australia,1,3,4,1,2.26,3.83,3.83,3.92,0.0,-2.0,0.0,16.84
Canada,3,3,0,0,3.59,2.02,1.78,1.67,0.0,-1.0,-2.0,6.06
England,1,4,8,0,3.36,4.96,5.26,5.83,1.0,0.0,0.0,28.4
Fiji,2,4,2,1,3.74,4.67,4.6,4.8,0.0,-3.0,0.0,17.81
France,1,4,8,0,3.98,4.21,5.0,5.59,2.0,0.0,0.0,28.78
Georgia,2,3,2,0,3.07,2.61,2.87,2.79,0.0,-1.0,0.0,12.34
Ireland,1,3,4,0,2.56,2.88,3.5,4.74,0.0,-1.0,0.0,16.68
Italy,2,4,8,0,3.93,4.23,4.1,4.38,1.0,0.0,-2.0,23.64
Japan,2,3,8,0,3.04,3.52,3.74,2.99,0.0,0.0,0.0,21.29
Namibia,3,3,0,0,3.55,2.16,1.73,1.19,0.0,-2.0,0.0,6.64
New Zealand,1,4,8,0,3.65,4.84,4.93,5.27,1.0,-2.0,0.0,25.68
Russia,3,4,0,0,4.26,3.13,2.12,1.73,1.0,-3.0,0.0,9.24
Samoa,2,3,2,0,3.15,2.67,2.9,2.65,0.0,-4.0,-2.0,7.37
Scotland,2,3,4,0,2.99,3.8,3.74,3.89,1.0,0.0,0.0,19.42
South Africa,1,4,6,0,3.28,4.75,5.46,5.5,1.0,0.0,0.0,25.98
Tonga,2,3,0,2,2.98,2.69,1.82,1.77,0.0,0.0,0.0,11.27
USA,2,3,0,0,3.61,2.16,1.74,1.02,0.0,0.0,-2.0,6.52
Uruguay,3,3,4,0,3.48,2.0,1.72,1.07,0.0,0.0,-2.0,10.27
Wales,1,3,6,0,3.45,2.89,2.98,3.42,2.0,-2.0,0.0,18.74
